8,14,8
10,24,24
4,1,4
12,30,12
20,2,2
22,11,22
3,6,6
16,9,16
28,18,28
5,21,21
15,19,19
29,26,26
27,7,7
13,25,13
17,23,17
14,24,14
4,9,9
15,8,8
1,20,20
2,16,2
6,21,21
5,28,5
27,11,27
7,3,7
29,13,29
25,22,22
26,10,10
9,5,9
30,15,30
19,20,19
6,12,12
28,23,23
18,16,18
24,29,24
21,8,8
11,10,10
17,1,1
23,25,23
13,27,13
26,14,26
4,3,3
12,5,5
30,2,2
1,18,1
28,25,25
15,7,7
17,16,17
19,10,10
21,9,21
8,29,8
14,22,14
6,20,20
24,27,27
13,22,13
9,25,25
28,17,28
1,30,1
2,12,2
16,3,3
20,6,6
21,19,19
11,4,11
18,8,18
7,5,7
29,15,29
10,26,10
14,13,14
23,28,23
19,9,19
29,22,22
24,27,27
12,6,12
17,20,17
16,30,16
5,3,3
21,10,10
8,7,8
25,15,25
23,24,23
12,4,4
22,14,22
19,1,1
3,2,2
11,26,11
18,29,18
8,5,8
9,24,24
27,28,28
6,10,6
7,4,7
25,15,15
9,10,10
12,27,12
22,7,7
23,30,23
3,17,17
16,14,16
20,13,20
5,29,5
11,26,11
18,2,18
21,1,21
8,19,8
4,30,30
12,29,12
23,2,23
3,13,3
20,27,20
5,24,24
11,14,11
15,16,16
17,9,17
18,19,18
21,6,21
7,28,28
8,10,8
26,25,26
12,17,12
22,1,1
9,23,23
30,4,4
2,3,2
11,19,11
15,29,29
27,18,18
7,13,7
24,14,14
26,21,26
22,17,22
2,28,2
1,16,16
10,6,6
20,4,20
3,30,3
13,15,15
23,12,23
5,9,5
11,8,11
19,7,7
27,16,16
24,21,21
10,18,18
14,25,14
2,20,2
28,30,28
17,5,17
26,6,26
4,16,16
9,1,1
23,12,12
3,22,3
21,27,21
19,7,19
29,25,29
8,13,8
10,18,18
14,15,14
30,7,7
1,20,20
23,2,2
28,17,17
5,22,22
24,18,24
14,26,26
25,6,6
16,3,16
10,21,21
4,17,17
30,20,20
1,23,23
6,9,6
28,2,2
27,26,26
5,22,22
19,8,19
29,24,24
25,14,14
13,11,13
4,20,20
19,18,18
5,16,5
17,7,17
27,15,15
10,21,21
3,23,23
12,22,22
6,8,6
28,9,28
7,26,26
15,2,2
29,24,24
25,21,21
14,11,14
4,2,4
9,8,8
30,17,17
5,16,16
18,20,18
19,26,19
27,13,13
10,11,10
22,28,22
1,12,12
23,6,6
24,25,24
14,29,14
4,30,4
22,8,22
1,3,1
2,17,2
6,16,16
12,28,28
11,15,11
18,23,18
19,26,19
21,5,21
27,13,13
24,10,24
25,29,25
14,7,7
22,2,22
15,24,24
20,16,20
28,5,28
12,9,12
11,8,11
17,30,17
18,26,26
10,27,10
13,19,19
21,23,23
3,16,3
30,1,1
6,14,14
29,19,29
13,7,13
17,25,17
2,1,2
20,24,24
22,4,22
15,18,18
3,5,3
6,28,6
8,27,8
9,30,30
12,25,25
23,14,23
29,19,29
13,8,8
2,5,2
3,28,3
6,1,6
16,17,17
20,4,20
18,21,18
7,11,7
26,10,26
9,14,14
22,30,22
28,24,28
15,29,15
19,23,19
8,11,8
26,13,13
6,25,25
3,4,4
16,12,16
20,9,20
5,17,5
18,29,18
21,14,21
27,1,1
10,13,10
22,30,22
2,23,2
28,20,20
7,15,15
19,27,19
24,8,8
13,10,13
4,18,18
3,22,3
9,6,6
16,12,12
5,19,5
17,1,17
7,21,21
24,15,24
29,25,29
26,8,26
14,11,14
12,2,12
26,19,19
17,20,17
14,24,14
6,22,6
9,15,15
28,16,16
30,23,23
1,3,3
18,27,18
5,4,5
11,21,11
7,29,7
10,25,10
13,8,13
17,12,12
14,19,14
4,28,4
22,9,22
23,1,23
